epoch,accuracy,loss,val_accuracy,val_loss
0,0.895466685295105,0.3103029727935791,0.9987999796867371,0.004627883434295654
1,0.9970666766166687,0.01106260996311903,0.9847999811172485,0.04120046645402908
2,0.9986666440963745,0.0053447638638317585,0.9998000264167786,0.00031252973712980747
3,0.9999333620071411,0.00013836374273523688,1.0,0.00018237096082884818
4,0.9998666644096375,0.00039377802750095725,0.9998000264167786,0.0002946694730781019
5,1.0,1.8667948097572662e-05,1.0,1.9091223293798976e-05
6,1.0,6.943915650481358e-06,1.0,1.4076019397180062e-05
7,1.0,5.314992904459359e-06,1.0,1.207639343192568e-05
8,1.0,4.2447145460755564e-06,1.0,1.0690303497540299e-05
9,1.0,3.6744188491866225e-06,1.0,1.053569940268062e-05
